"DGT_DATASET_NAME","DGT_DATASET_REGEX","DGT_RUN_NUMBER_FROM","DGT_RUN_NUMBER_TO","DGT_RUN_CLASS"
"/Express/Commissioning2012/DQM","/StreamExpressCosmics/Commissioning12-Express-v.*?/DQM",183000,300000,"Commissioning12"
"/PromptReco/Collisions2012A/DQM","/SingleMu/Run2012A-PromptReco-v.*?/DQM
/MinimumBias/Run2012A-PromptReco-v.*?/DQM
/Jet/Run2012A-PromptReco-v.*?/DQM
/Photon/Run2012A-PromptReco-v.*?/DQM",190450,193832,"Collisions12"
"/PromptReco/Collisions2012B/DQM","/SingleMu/Run2012B-PromptReco-v.*?/DQM
/MinimumBias/Run2012B-PromptReco-v.*?/DQM
/JetHT/Run2012B-PromptReco-v.*?/DQM
/SinglePhoton/Run2012B-PromptReco-v.*?/DQM",193833,198000,"Collisions12"
"/PromptReco/Cosmics2012B/DQM","/Cosmics/Run2012B-PromptReco-v.*?/DQM
",193750,197555,"Cosmics12"
"/PromptReco/ZeroBias2012D/DQM","/ZeroBias.*?/Run2012D-PromptReco-v.*?/DQM",207871,207871,"Collisions12"
"/PromptReco/Collisions2013/DQM","/MinimumBias/HIRun2013-PromptReco-v.*?/DQM
/PAMinBiasUPC/HIRun2013-PromptReco-v.*?/DQM
/PAMuon/HIRun2013-PromptReco-v.*?/DQM
/PAHighPt/HIRun2013-PromptReco-v.*?/DQM",210580,300000,"Collisions13"
"/PromptReco/Cosmics14MWGR4/DQM","/Cosmics/Commissioning2014-PromptReco-v2/DQM",224900,225499,"Cosmics14"
"/Express/Commissioning2014MWGR5/DQM","/StreamExpressCosmics/Commissioning2014-Express-v3/DQM",225500,226000,"Commissioning14"
"/PromptReco/Commissioning2015A/DQM","/ZeroBias.*?/Run2015A-PromptReco-v.*?/DQMIO
/SingleMu/Run2015A-PromptReco-v.*?/DQMIO
/Commissioning/Run2015A-PromptReco-v.*?/DQMIO",246908,247301,"Collisions15"
"/PromptReco/Commissioning2015A-VeryLowPU/DQM","/ZeroBias.*?/Run2015A-PromptReco-v.*?/DQMIO
/L1TechBPTXMinusOnly/Run2015A-PromptReco-v.*?/DQMIO



",247302,247335,"Collisions15"
"/PromptReco/Commissioning2015A/DQM","/ZeroBias.*?/Run2015A-PromptReco-v.*?/DQMIO
/SingleMu/Run2015A-PromptReco-v.*?/DQMIO
/Commissioning/Run2015A-PromptReco-v.*?/DQMIO",247336,247398,"Collisions15"
"/PromptReco/Collisions2015B/DQM","/ZeroBias.*?/Run2015B-PromptReco-v.*?/DQMIO
/Commissioning/Run2015B-PromptReco-v.*?/DQMIO",251026,251027,"Collisions15"
"/PromptReco/Collisions2015B/DQM","/ZeroBias.*?/Run2015B-PromptReco-v.*?/DQMIO
/Commissioning/Run2015B-PromptReco-v.*?/DQMIO",251023,251024,"Collisions15"
"/PromptReco/Collisions2015B/DQM","/ZeroBias/Run2015B-PromptReco-v.*?/DQMIO
/SingleMuon/Run2015B-PromptReco-v.*?/DQMIO
/Commissioning/Run2015B-PromptReco-v.*?/DQMIO",251161,251716,"Collisions15"
"/PromptReco/Collisions2015C/DQM","/SingleMuon/Run2015C-PromptReco-v.*?/DQMIO
/JetHT/Run2015C-PromptReco-v.*?/DQMIO
/SinglePhoton/Run2015C-PromptReco-v.*?/DQMIO
/ZeroBias/Run2015C-PromptReco-v.*?/DQMIO
",254608,254914,"Collisions15"
"/Express/Cosmics2016/DQM","/StreamExpressCosmics/Commissioning2016-Express-v.*?/DQMIO",267800,999999,"Cosmics16"
"/PromptReco/Cosmics16CRUZET/DQM","/Cosmics/Commissioning2016-PromptReco-v.*?/DQMIO",267785,270999,"Cosmics16"
"/PromptReco/Collisions2016A/DQM","/ZeroBias1/Run2016A-PromptReco-v.*?/DQMIO",270500,271342,"Collisions16"
"/PromptReco/Collisions2016B/DQM","/ZeroBias/Run2016B-PromptReco-v.*?/DQMIO
/SinglePhoton/Run2016B-PromptReco-v.*?/DQMIO
/JetHT/Run2016B-PromptReco-v.*?/DQMIO",275125,275125,"Collisions16"
"/PromptReco/Collisions2016E/DQM","/ZeroBias/Run2016E-PromptReco-v.*?/DQMIO
/SingleMuon/Run2016E-PromptReco-v.*?/DQMIO
/SinglePhoton/Run2016E-PromptReco-v.*?/DQMIO
/JetHT/Run2016E-PromptReco-v.*?/DQMIO",276812,277420,"Collisions16"
"/PromptReco/Cosmics16E/DQM","/Cosmics/Run2016E-PromptReco-v.*?/DQMIO",276825,277771,"Cosmics16"
"/PromptReco/Collisions2017A/DQM","/ZeroBias.*?/Run2017A-PromptReco-v.*?/DQMIO",294927,295953,"Collisions17"
"/PromptReco/Collisions2017B/DQM","/ZeroBias/Run2017B-PromptReco-v.*?/DQMIO
/SingleMuon/Run2017B-PromptReco-v.*?/DQMIO
/SinglePhoton/Run2017B-PromptReco-v.*?/DQMIO
/JetHT/Run2017B-PromptReco-v.*?/DQMIO",297020,299329,"Collisions17"
"/Express/Collisions2017/DQM","/StreamExpress/Run2017.*?-Express-v.*?/DQMIO",294927,304826,"Collisions17"
"/PromptReco/SpecialRun2017/DQM","/ZeroBias.*?/Run2017.*?-PromptReco-v.*?/DQMIO",295255,306462,"Collisions17SpecialRun"
"/Express/SpecialRun2017/DQM","/StreamExpress/Run2017.*?-Express-v.*?/DQMIO",295255,306462,"Collisions17SpecialRun"
"/PromptReco/Cosmics17B/DQM","/Cosmics/Run2017B-PromptReco-v.*?/DQMIO",297020,299329,"Cosmics17"
"/PromptReco/Collisions2017C/DQM","/ZeroBias/Run2017C-PromptReco-v.*?/DQMIO
/SingleMuon/Run2017C-PromptReco-v.*?/DQMIO
/SinglePhoton/Run2017C-PromptReco-v.*?/DQMIO
/JetHT/Run2017C-PromptReco-v.*?/DQMIO",299337,302029,"Collisions17"
"/PromptReco/Cosmics17C/DQM","/Cosmics/Run2017C-PromptReco-v.*?/DQMIO",299337,302029,"Cosmics17"
"/Express/Cosmics2017CRUZET/DQM","/StreamExpressCosmics/Run2017.*?-Express-v.*?/DQMIO",297935,307560,"Cosmics17CRUZET"
"/PromptReco/Cosmics17CRUZET/DQM","
/Cosmics/Run2017.*?-PromptReco-v.*?/DQMIO",297935,999999,"Cosmics17CRUZET"
"/PromptReco/Commissioning12/DQM","/ZeroBias1/Commissioning12-PromptReco-v.*?/DQM",190389,190412,"Collisions12"
"/PromptReco/ZeroBias2012A/DQM","/ZeroBias.*?/Run2012A-PromptReco-v.*?/DQM",191306,193091,"Collisions12"
"/PromptReco/Cosmics2013A/DQM","/Cosmics/HIRun2013A-PromptReco-v.*?/DQM",209642,999999,"Cosmics13"
"/PromptReco/Collisions2013A/DQM","/PAMuon/HIRun2013A-PromptReco-v.*?/DQM
/PAHighPt/HIRun2013A-PromptReco-v.*?/DQM
/PAMinBiasUPC/HIRun2013A-PromptReco-v.*?/DQM",210498,210569,"Collisions13"
"/PromptReco/Cosmics14MWGR3/DQM","/Cosmics/Commissioning2014-PromptReco-v2/DQM",224000,300000,"Cosmics14"
"/PromptReco/Cosmics14MWGR5/DQM","/MinimumBias/Commissioning2014-PromptReco-v3/DQM",225500,226000,"Cosmics14"
"/PromptReco/Cosmics15CRUZET/DQM","/Cosmics/Commissioning2015-PromptReco-v1/DQM",233800,238340,"Cosmics15"
"/PromptReco/Commissioning2015A-VeryLowPU/DQM","/ZeroBias.*?/Run2015A-PromptReco-v.*?/DQMIO
/Commissioning/Run2015A-PromptReco-v.*?/DQMIO
/TOTEMMinBias/Run2015A-PromptReco-v.*?/DQMIO",247607,247934,"Collisions15"
"/PromptReco/Commissioning2015A/DQM","/ZeroBias.*?/Run2015A-PromptReco-v.*?/DQMIO
/SingleMu/Run2015A-PromptReco-v.*?/DQMIO
/Commissioning/Run2015A-PromptReco-v.*?/DQMIO
",247981,248005,"Collisions15"
"/PromptReco/Cosmics2015A/DQM","/Cosmics/Run2015A-PromptReco-v1/DQMIO",247205,251000,"Cosmics15"
"/PromptReco/Collisions2015B/DQM","/ZeroBias.*?/Run2015B-PromptReco-v.*?/DQMIO
/SingleMu/Run2015B-PromptReco-v.*?/DQMIO
/Commissioning/Run2015B-PromptReco-v.*?/DQMIO
",251135,251160,"Collisions15"
"/PromptReco/SpecialHLTMenu/DQM","/ZeroBias.*?/Run2015B-PromptReco-v.*?/DQMIO
/SingleMu/Run2015B-PromptReco-v.*?/DQMIO
/Commissioning/Run2015B-PromptReco-v.*?/DQMIO
",251131,251134,"Collisions15"
"/PromptReco/Cosmics2015C/DQM","/Cosmics/Run2015C-PromptReco-v.*?/DQMIO",256281,256281,"Cosmics15"
"/PromptReco/Collisions2015C/DQM","/SingleMuon/Run2015C-PromptReco-v.*?/DQMIO
/Commissioning/Run2015C-PromptReco-v.*?/DQMIO
/JetHT/Run2015C-PromptReco-v.*?/DQMIO
/SinglePhoton/Run2015C-PromptReco-v.*?/DQMIO
/ZeroBias/Run2015C-PromptReco-v.*?/DQMIO
",253659,300000,"Collisions15"
"/PromptReco/LowPURun/DQM","/ZeroBias/Run2015C-PromptReco-v.*?/DQMIO",254982,254989,"Collisions15"
"/PromptReco/LowPURun/DQM","/ZeroBias/Run2015C-PromptReco-v.*?/DQMIO",254993,255031,"Collisions15"
