id,status,component,classifier,priority,enabled,createdAt,created_by,updated_by
1,BAD,1,"{'if': [True, True, False]}",1,True,2019-04-17 16:10:07.296000+02:00,,
2,BAD,1,"{'if': [False, True, False]}",1,True,2019-04-17 16:10:07.296000+02:00,,
33,NOTSET,1,"{'if': [True, True, False]}",1,True,2019-04-17 16:36:11.944000+02:00,,
34,BAD,1,"{'if': [True, True, False]}",1,True,2019-04-17 16:36:20.097000+02:00,,
35,GOOD,1,"{'if': [True, True, False]}",1,True,2019-04-17 16:36:30.937000+02:00,,
36,EXCLUDED,1,"{'if': [True, True, False]}",1,True,2019-04-17 16:36:36.585000+02:00,,
37,STANDBY,1,"{'if': [True, True, False]}",1,True,2019-04-17 16:36:43.492000+02:00,,
26,NOTSET,2,"{'if': [True, True, False]}",1,True,2019-04-17 16:10:07.296000+02:00,,
27,BAD,2,"{'if': [True, True, False]}",1,True,2019-04-17 16:10:07.296000+02:00,,
28,GOOD,2,"{'if': [True, True, False]}",1,True,2019-04-17 16:10:07.296000+02:00,,
29,EXCLUDED,2,"{'if': [True, True, False]}",1,True,2019-04-17 16:10:07.296000+02:00,,
32,STANDBY,2,"{'if': [True, True, False]}",1,True,2019-04-17 16:10:07.296000+02:00,,
38,NOTSET,3,"{'if': [True, True, False]}",1,True,2019-04-17 16:39:52.386000+02:00,,
39,BAD,3,"{'if': [True, True, False]}",1,True,2019-04-17 16:39:57.747000+02:00,,
40,GOOD,3,"{'if': [True, True, False]}",1,True,2019-04-17 16:40:03.972000+02:00,,
41,EXCLUDED,3,"{'if': [True, True, False]}",1,True,2019-04-17 16:40:22.600000+02:00,,
42,STANDBY,3,"{'if': [True, True, False]}",1,True,2019-04-17 16:40:28.118000+02:00,,
151,STANDBY,4,"{'if': [{'and': [{'==': [{'var': 'run.ecal_included'}, True]}, {'==': [{'var': 'ebm_ready'}, False]}]}, True, False]}",1,True,2019-04-18 13:49:41.399000+02:00,,
152,EXCLUDED,4,"{'if': [{'==': [{'var': 'run.oms.ecal_included'}, False]}, True, False]}",1,True,2019-04-18 13:50:47.620000+02:00,,
153,STANDBY,4,"{'if': [{'and': [{'==': [{'var': 'run.oms.ecal_included'}, True]}, {'==': [{'var': 'lumisection.oms.ebm_ready'}, False]}]}, True, False]}",1,True,2019-04-18 13:49:41.399000+02:00,,
154,GOOD,4,"{'if': [{'and': [{'==': [{'var': 'run.oms.ecal_included'}, True]}, {'==': [{'var': 'lumisection.oms.ebm_ready'}, True]}]}, True, False]}",1,True,2019-04-18 13:52:37.251000+02:00,,
162,EXCLUDED,5,"{'if': [{'==': [{'var': 'run.oms.ecal_included'}, False]}, True, False]}",1,True,2019-04-18 14:10:02.160000+02:00,,
163,STANDBY,5,"{'if': [{'and': [{'==': [{'var': 'run.oms.ecal_included'}, True]}, {'==': [{'var': 'lumisection.oms.eep_ready'}, False]}]}, True, False]}",1,True,2019-04-18 14:11:01.701000+02:00,,
164,GOOD,5,"{'if': [{'and': [{'==': [{'var': 'run.oms.ecal_included'}, True]}, {'==': [{'var': 'lumisection.oms.eep_ready'}, True]}]}, True, False]}",1,True,2019-04-18 14:11:12.163000+02:00,,
165,EXCLUDED,6,"{'if': [{'==': [{'var': 'run.oms.ecal_included'}, False]}, True, False]}",1,True,2019-04-18 14:15:17.611000+02:00,,
166,STANDBY,6,"{'if': [{'and': [{'==': [{'var': 'run.oms.ecal_included'}, True]}, {'==': [{'var': 'lumisection.oms.esm_ready'}, False]}]}, True, False]}",1,True,2019-04-18 14:17:43.405000+02:00,,
167,GOOD,6,"{'if': [{'and': [{'==': [{'var': 'run.oms.ecal_included'}, True]}, {'==': [{'var': 'lumisection.oms.esm_ready'}, True]}]}, True, False]}",1,True,2019-04-18 14:17:59.108000+02:00,,
169,EXCLUDED,6,"{'if': [{'==': [{'var': 'run.oms.esm_included'}, False]}, True, False]}",1,True,2019-04-18 14:15:17.611000+02:00,,
170,GOOD,6,"{'if': [{'and': [{'==': [{'var': 'run.oms.esm_present'}, True]}, {'==': [{'var': 'lumisection.oms.esm_ready'}, True]}]}, True, False]}",1,True,2019-04-18 14:17:59.108000+02:00,,
171,STANDBY,6,"{'if': [{'and': [{'==': [{'var': 'run.oms.esm_included'}, True]}, {'==': [{'var': 'lumisection.oms.esm_ready'}, False]}]}, True, False]}",1,True,2019-04-18 14:17:43.405000+02:00,,
