id_cycle,cycle_attributes,deadline,deleted,createdAt,updatedAt,cycle_name
5,"{'dt_state': 'completed', 'csc_state': 'completed', 'gem_state': 'completed', 'hlt_state': 'completed', 'l1t_state': 'completed', 'rpc_state': 'completed', 'ecal_state': 'completed', 'hcal_state': 'completed', 'muon_state': 'completed', 'egamma_state': 'completed', 'global_state': 'completed', 'jetmet_state': 'completed', 'tracker_state': 'completed'}",2021-08-13 09:16:51.483000+02:00,False,2021-07-29 09:51:16.448000+02:00,2021-08-12 12:27:57.124000+02:00,Cosmic2021_CRUZET_certification_call1
8,"{'dt_state': 'completed', 'csc_state': 'completed', 'gem_state': 'completed', 'hlt_state': 'completed', 'l1t_state': 'completed', 'rpc_state': 'completed', 'ecal_state': 'completed', 'hcal_state': 'completed', 'muon_state': 'completed', 'egamma_state': 'completed', 'global_state': 'completed', 'jetmet_state': 'completed', 'tracker_state': 'completed'}",2021-08-31 12:07:51.939000+02:00,False,2021-08-17 09:05:50.397000+02:00,2021-08-31 21:31:14.475000+02:00,Cosmic2021_CRUZET_certification_call4
7,"{'dt_state': 'completed', 'csc_state': 'completed', 'gem_state': 'completed', 'hlt_state': 'completed', 'l1t_state': 'completed', 'rpc_state': 'completed', 'ecal_state': 'completed', 'hcal_state': 'completed', 'muon_state': 'completed', 'egamma_state': 'completed', 'global_state': 'completed', 'jetmet_state': 'completed', 'tracker_state': 'completed'}",2021-08-23 11:26:11.296000+02:00,False,2021-08-12 11:58:09.570000+02:00,2021-08-28 12:27:01.364000+02:00,Cosmic2021_CRUZET_certification_call3
4,"{'dt_state': 'completed', 'cms_state': 'completed', 'csc_state': 'completed', 'hlt_state': 'completed', 'l1t_state': 'completed', 'rpc_state': 'completed', 'ecal_state': 'completed', 'hcal_state': 'completed', 'muon_state': 'completed', 'egamma_state': 'completed', 'global_state': 'completed', 'jetmet_state': 'completed', 'tracker_state': 'completed'}",2020-07-15 18:24:26.093000+02:00,False,2020-06-22 15:08:38.022000+02:00,2022-04-18 07:27:01.963000+02:00,Run2016_Legacy2020_DC
6,"{'dt_state': 'completed', 'csc_state': 'completed', 'gem_state': 'completed', 'hlt_state': 'completed', 'l1t_state': 'completed', 'rpc_state': 'completed', 'ecal_state': 'completed', 'hcal_state': 'completed', 'muon_state': 'completed', 'egamma_state': 'completed', 'global_state': 'completed', 'jetmet_state': 'completed', 'tracker_state': 'completed'}",2021-08-19 16:18:03.906000+02:00,False,2021-08-05 11:57:23.113000+02:00,2021-08-28 12:25:14.369000+02:00,Cosmic2021_CRUZET_certification_call2
13,"{'dt_state': 'completed', 'csc_state': 'completed', 'gem_state': 'completed', 'hlt_state': 'completed', 'l1t_state': 'completed', 'rpc_state': 'completed', 'ecal_state': 'completed', 'hcal_state': 'completed', 'muon_state': 'completed', 'egamma_state': 'completed', 'global_state': 'completed', 'jetmet_state': 'completed', 'tracker_state': 'completed'}",2022-03-23 08:27:06.513000+01:00,False,2022-03-18 08:28:33.721000+01:00,2022-03-24 06:07:51.083000+01:00,Cosmic2022_CRAFT_certification_call2
9,"{'dt_state': 'completed', 'csc_state': 'completed', 'gem_state': 'completed', 'hlt_state': 'completed', 'l1t_state': 'completed', 'rpc_state': 'completed', 'ecal_state': 'completed', 'hcal_state': 'completed', 'muon_state': 'completed', 'egamma_state': 'completed', 'global_state': 'completed', 'jetmet_state': 'completed', 'tracker_state': 'completed'}",2021-11-04 13:17:55.156000+01:00,False,2021-10-21 14:18:21.963000+02:00,2021-11-02 09:54:06.445000+01:00,Cosmic2021_CRAFT_certification_call1
10,"{'dt_state': 'completed', 'csc_state': 'completed', 'gem_state': 'completed', 'hlt_state': 'completed', 'l1t_state': 'completed', 'rpc_state': 'completed', 'ecal_state': 'completed', 'hcal_state': 'completed', 'muon_state': 'completed', 'egamma_state': 'completed', 'global_state': 'completed', 'jetmet_state': 'completed', 'tracker_state': 'completed'}",2021-11-10 08:23:01.997000+01:00,False,2021-11-02 08:24:02.270000+01:00,2021-11-12 10:01:01.369000+01:00,Cosmic2021_CRAFT_certification_call2
15,"{'dt_state': 'completed', 'csc_state': 'completed', 'gem_state': 'completed', 'hlt_state': 'completed', 'l1t_state': 'completed', 'rpc_state': 'completed', 'ecal_state': 'completed', 'hcal_state': 'completed', 'muon_state': 'completed', 'egamma_state': 'completed', 'global_state': 'completed', 'jetmet_state': 'completed', 'tracker_state': 'completed'}",2022-04-06 23:45:49.788000+02:00,False,2022-03-31 19:00:31.379000+02:00,2022-04-18 07:21:58.663000+02:00,CRAFT_22_Call4
11,"{'dt_state': 'completed', 'csc_state': 'completed', 'gem_state': 'completed', 'hlt_state': 'completed', 'l1t_state': 'completed', 'rpc_state': 'completed', 'ecal_state': 'completed', 'hcal_state': 'completed', 'muon_state': 'completed', 'egamma_state': 'completed', 'global_state': 'completed', 'jetmet_state': 'completed', 'tracker_state': 'completed'}",2021-11-16 11:51:21.265000+01:00,False,2021-11-08 16:49:37.396000+01:00,2021-11-18 05:49:08.415000+01:00,Collisions2021_BeamTest_certification_call1
