run_number,name,dataset_attributes,deleted,version,datasets_in_gui
362158,online,{},False,47422415,[]
362156,/PromptReco/Commissioning2022/DQM,"{'dc_state': 'waiting dqm gui', 'dt_state': 'waiting dqm gui', 'cms_state': 'waiting dqm gui', 'csc_state': 'waiting dqm gui', 'gem_state': 'waiting dqm gui', 'hlt_state': 'waiting dqm gui', 'l1t_state': 'waiting dqm gui', 'rpc_state': 'waiting dqm gui', 'tau_state': 'waiting dqm gui', 'btag_state': 'waiting dqm gui', 'ecal_state': 'waiting dqm gui', 'hcal_state': 'waiting dqm gui', 'lumi_state': 'waiting dqm gui', 'muon_state': 'waiting dqm gui', 'appeared_in': [], 'ctpps_state': 'waiting dqm gui', 'castor_state': 'waiting dqm gui', 'egamma_state': 'waiting dqm gui', 'global_state': 'waiting dqm gui', 'jetmet_state': 'waiting dqm gui', 'tracker_state': 'waiting dqm gui'}",False,47422230,[]
362156,online,{},False,47422221,[]
362156,"/Express/Commissioning2022/DQM
","{'dc_state': 'waiting dqm gui', 'dt_state': 'not significant for workspace', 'cms_state': 'waiting dqm gui', 'csc_state': 'not significant for workspace', 'gem_state': 'not significant for workspace', 'hlt_state': 'not significant for workspace', 'l1t_state': 'not significant for workspace', 'rpc_state': 'not significant for workspace', 'tau_state': 'not significant for workspace', 'btag_state': 'not significant for workspace', 'ecal_state': 'not significant for workspace', 'hcal_state': 'not significant for workspace', 'lumi_state': 'not significant for workspace', 'muon_state': 'not significant for workspace', 'appeared_in': [], 'ctpps_state': 'OPEN', 'castor_state': 'not significant for workspace', 'egamma_state': 'not significant for workspace', 'global_state': 'not significant for workspace', 'jetmet_state': 'not significant for workspace', 'tracker_state': 'OPEN'}",False,47422247,['/StreamExpressCosmics/Run2022F-Express-v1/DQMIO']
362155,/PromptReco/Cosmics22/DQM,"{'dc_state': 'waiting dqm gui', 'dt_state': 'waiting dqm gui', 'cms_state': 'waiting dqm gui', 'csc_state': 'waiting dqm gui', 'gem_state': 'waiting dqm gui', 'hlt_state': 'waiting dqm gui', 'l1t_state': 'waiting dqm gui', 'rpc_state': 'waiting dqm gui', 'tau_state': 'waiting dqm gui', 'btag_state': 'waiting dqm gui', 'ecal_state': 'waiting dqm gui', 'hcal_state': 'waiting dqm gui', 'lumi_state': 'waiting dqm gui', 'muon_state': 'waiting dqm gui', 'appeared_in': [], 'ctpps_state': 'waiting dqm gui', 'castor_state': 'waiting dqm gui', 'egamma_state': 'waiting dqm gui', 'global_state': 'waiting dqm gui', 'jetmet_state': 'waiting dqm gui', 'tracker_state': 'waiting dqm gui'}",False,47422135,[]
362155,online,{},False,47422114,[]
362155,/Express/Cosmics22/DQM,"{'dc_state': 'waiting dqm gui', 'dt_state': 'not significant for workspace', 'cms_state': 'waiting dqm gui', 'csc_state': 'not significant for workspace', 'gem_state': 'not significant for workspace', 'hlt_state': 'not significant for workspace', 'l1t_state': 'not significant for workspace', 'rpc_state': 'not significant for workspace', 'tau_state': 'not significant for workspace', 'btag_state': 'not significant for workspace', 'ecal_state': 'not significant for workspace', 'hcal_state': 'not significant for workspace', 'lumi_state': 'not significant for workspace', 'muon_state': 'not significant for workspace', 'appeared_in': [], 'ctpps_state': 'OPEN', 'castor_state': 'not significant for workspace', 'egamma_state': 'not significant for workspace', 'global_state': 'not significant for workspace', 'jetmet_state': 'not significant for workspace', 'tracker_state': 'OPEN'}",False,47422184,['/StreamExpressCosmics/Run2022F-Express-v1/DQMIO']
362154,/PromptReco/Collisions2022/DQM,"{'dc_state': 'waiting dqm gui', 'dt_state': 'waiting dqm gui', 'cms_state': 'waiting dqm gui', 'csc_state': 'waiting dqm gui', 'gem_state': 'waiting dqm gui', 'hlt_state': 'waiting dqm gui', 'l1t_state': 'waiting dqm gui', 'rpc_state': 'waiting dqm gui', 'tau_state': 'waiting dqm gui', 'btag_state': 'waiting dqm gui', 'ecal_state': 'waiting dqm gui', 'hcal_state': 'waiting dqm gui', 'lumi_state': 'waiting dqm gui', 'muon_state': 'waiting dqm gui', 'appeared_in': [], 'ctpps_state': 'waiting dqm gui', 'castor_state': 'waiting dqm gui', 'egamma_state': 'waiting dqm gui', 'global_state': 'waiting dqm gui', 'jetmet_state': 'waiting dqm gui', 'tracker_state': 'waiting dqm gui'}",False,47421992,[]
362154,online,{},False,47421928,[]
362154,/Express/Commissioning2022/DQM,"{'dc_state': 'waiting dqm gui', 'dt_state': 'not significant for workspace', 'cms_state': 'waiting dqm gui', 'csc_state': 'not significant for workspace', 'gem_state': 'not significant for workspace', 'hlt_state': 'not significant for workspace', 'l1t_state': 'not significant for workspace', 'rpc_state': 'not significant for workspace', 'tau_state': 'not significant for workspace', 'btag_state': 'not significant for workspace', 'ecal_state': 'not significant for workspace', 'hcal_state': 'not significant for workspace', 'lumi_state': 'not significant for workspace', 'muon_state': 'not significant for workspace', 'appeared_in': [], 'ctpps_state': 'OPEN', 'castor_state': 'not significant for workspace', 'egamma_state': 'not significant for workspace', 'global_state': 'not significant for workspace', 'jetmet_state': 'not significant for workspace', 'tracker_state': 'OPEN'}",False,47422055,['/StreamExpress/Run2022F-Express-v1/DQMIO']
