id,class,classifier,enabled,createdAt,created_by,updated_by
2,Cosmics18,"{'if': [{'and': [{'var': 'tracker_included'}, {'var': 'tier0_transfer'}, {'>=': [{'var': 'hlt_physics_counter'}, 1000]}, {'or': [{'var': 'tob_ready'}, {'var': 'tecp_ready'}, {'var': 'tecm_ready'}]}]}, True, False]}",True,2018-08-06 17:30:15.428000+02:00,,
3,Collisions18,"{'if': [{'and': [True]}, True, False]}",True,2018-08-07 15:37:16.096000+02:00,,
4,Commissioning19,"{'if': [{'and': [{'var': 'tier0_transfer'}, {'>=': [{'var': 'hlt_physics_counter'}, 10000]}]}, True, False]}",True,2018-08-07 15:38:47.329000+02:00,,
5,Commissioning19,"{'if': [{'and': [{'var': 'tier0_transfer'}, {'>=': [{'var': 'hlt_physics_counter'}, 10000]}, {'!=': [{'var': 'end_time'}, None]}]}, True, False]}",True,2018-08-07 15:38:47.329000+02:00,,
6,Collisions18,"{'if': [{'and': [{'!=': [{'var': 'end_time'}, None]}]}, True, False]}",True,2018-08-07 15:37:16.096000+02:00,,
7,Cosmics18,"{'if': [{'and': [{'var': 'tracker_included'}, {'var': 'tier0_transfer'}, {'>=': [{'var': 'hlt_physics_counter'}, 1000]}, {'or': [{'var': 'tob_ready'}, {'var': 'tecp_ready'}, {'var': 'tecm_ready'}]}, {'!=': [{'var': 'end_time'}, None]}]}, True, False]}",True,2018-08-06 17:30:15.428000+02:00,,
8,Commissioning19,"{'if': [{'and': [{'var': 'tier0_transfer'}, {'>=': [{'var': 'hlt_physics_counter'}, 10000]}, {'!=': [{'var': 'end_time'}, None]}, {'==': [{'in': ['minidaq', {'var': 'hlt_key'}]}, False]}]}, True, False]}",True,2018-08-07 15:38:47.329000+02:00,,
9,Cosmics18,"{'if': [{'and': [{'var': 'tracker_included'}, {'var': 'tier0_transfer'}, {'>=': [{'var': 'hlt_physics_counter'}, 1000]}, {'or': [{'var': 'tob_ready'}, {'var': 'tecp_ready'}, {'var': 'tecm_ready'}]}, {'!=': [{'var': 'end_time'}, None]}, {'==': [{'in': ['minidaq', {'var': 'hlt_key'}]}, False]}]}, True, False]}",True,2018-08-06 17:30:15.428000+02:00,,
10,Collisions18,"{'if': [{'and': [{'!=': [{'var': 'end_time'}, None]}, {'==': [{'in': ['minidaq', {'var': 'hlt_key'}]}, False]}]}, True, False]}",True,2018-08-07 15:37:16.096000+02:00,,
11,Cosmics19,"{'if': [{'and': [{'var': 'tracker_included'}, {'var': 'tier0_transfer'}, {'>=': [{'var': 'hlt_physics_counter'}, 1000]}, {'or': [{'var': 'tob_ready'}, {'var': 'tecp_ready'}, {'var': 'tecm_ready'}]}, {'!=': [{'var': 'end_time'}, None]}, {'==': [{'in': ['minidaq', {'var': 'hlt_key'}]}, False]}]}, True, False]}",True,2019-09-18 14:44:02.491000+02:00,,
12,Commissioning20,"{'if': [{'and': [{'var': 'tier0_transfer'}, {'>=': [{'var': 'hlt_physics_counter'}, 10000]}, {'!=': [{'var': 'end_time'}, None]}, {'==': [{'in': ['minidaq', {'var': 'hlt_key'}]}, False]}]}, True, False]}",True,2020-02-19 14:45:26.279000+01:00,,
13,Cosmics19,"{'if': [{'and': [{'var': 'tracker_included'}, {'var': 'tier0_transfer'}, {'>=': [{'var': 'hlt_physics_counter'}, 1000]}, {'or': [{'var': 'tob_ready'}, {'var': 'tecp_ready'}, {'var': 'tecm_ready'}]}, {'!=': [{'var': 'end_time'}, None]}, {'==': [{'in': ['minidaq', {'var': 'hlt_key'}]}, False]}]}, True, False]}",True,2020-02-19 14:45:58.272000+01:00,,
14,Cosmics20,"{'if': [{'and': [{'var': 'tracker_included'}, {'var': 'tier0_transfer'}, {'>=': [{'var': 'hlt_physics_counter'}, 1000]}, {'or': [{'var': 'tob_ready'}, {'var': 'tecp_ready'}, {'var': 'tecm_ready'}]}, {'!=': [{'var': 'end_time'}, None]}, {'==': [{'in': ['minidaq', {'var': 'hlt_key'}]}, False]}]}, True, False]}",True,2020-02-19 14:46:17.447000+01:00,,
15,Collisions18,"{'if': [{'and': [{'==': [{'in': ['minidaq', {'var': 'hlt_key'}]}, False]}]}, True, False]}",True,2018-08-07 15:37:16.096000+02:00,,
16,Cosmics20,"{'if': [{'and': [{'var': 'tracker_included'}, {'var': 'tier0_transfer'}, {'>=': [{'var': 'hlt_physics_counter'}, 1000]}, {'or': [{'var': 'tob_ready'}, {'var': 'tecp_ready'}, {'var': 'tecm_ready'}]}, {'==': [{'in': ['minidaq', {'var': 'hlt_key'}]}, False]}]}, True, False]}",True,2020-02-19 14:46:17.447000+01:00,,
17,Commissioning20,"{'if': [{'and': [{'var': 'tier0_transfer'}, {'>=': [{'var': 'hlt_physics_counter'}, 10000]}, {'==': [{'in': ['minidaq', {'var': 'hlt_key'}]}, False]}]}, True, False]}",True,2020-02-19 14:45:26.279000+01:00,,
18,Commissioning21,"{'if': [{'and': [{'var': 'tier0_transfer'}, {'>=': [{'var': 'hlt_physics_counter'}, 10000]}, {'==': [{'in': ['minidaq', {'var': 'hlt_key'}]}, False]}]}, True, False]}",True,2021-02-08 04:50:48.464000+01:00,sandeep.kaur.hundal@cern.ch,
