id,DCL_id
2,1
3,1
4,1
2,2
3,2
5,2
2,3
5,3
6,3
5,4
6,4
7,4
6,5
7,5
8,5
6,6
8,6
9,6
8,7
9,7
10,7
8,8
9,8
10,8
11,8
8,9
10,9
11,9
8,10
10,10
11,10
12,10
8,11
10,11
11,11
12,11
13,11
8,12
10,12
11,12
12,12
8,13
10,13
11,13
12,13
14,13
10,14
11,14
12,14
14,14
10,15
12,15
14,15
12,16
14,16
15,16
12,17
15,17
16,17
15,18
16,18
17,18
15,19
16,19
17,19
18,19
15,20
16,20
17,20
18,20
19,20
15,21
16,21
17,21
18,21
20,21
15,22
16,22
17,22
18,22
21,22
15,23
16,23
17,23
18,23
21,23
22,23
15,24
16,24
17,24
18,24
22,24
23,24
15,25
16,25
17,25
18,25
23,25
24,25
15,26
16,26
17,26
18,26
23,26
25,26
15,27
16,27
17,27
18,27
23,27
25,27
26,27
15,28
16,28
17,28
18,28
23,28
25,28
26,28
27,28
15,29
16,29
17,29
18,29
23,29
25,29
26,29
27,29
28,29
15,30
16,30
17,30
18,30
23,30
25,30
26,30
28,30
15,31
16,31
17,31
18,31
23,31
25,31
26,31
28,31
29,31
15,32
16,32
17,32
18,32
23,32
25,32
26,32
28,32
29,32
30,32
15,33
16,33
17,33
18,33
23,33
25,33
26,33
28,33
29,33
30,33
31,33
16,34
17,34
18,34
23,34
25,34
26,34
28,34
29,34
30,34
31,34
17,35
18,35
23,35
25,35
26,35
28,35
29,35
30,35
31,35
18,36
23,36
25,36
26,36
28,36
29,36
30,36
31,36
18,37
23,37
25,37
26,37
28,37
29,37
30,37
31,37
32,37
23,38
25,38
26,38
28,38
29,38
30,38
31,38
32,38
25,39
26,39
28,39
29,39
30,39
31,39
32,39
26,40
28,40
29,40
30,40
31,40
32,40
28,41
29,41
30,41
31,41
32,41
29,42
30,42
31,42
32,42
29,43
30,43
31,43
33,43
29,44
30,44
31,44
34,44
29,45
30,45
34,45
35,45
29,46
34,46
35,46
36,46
29,47
34,47
35,47
36,47
37,47
