id,egroup,routes,createdAt
32,cms-dqm-runregistry-offline-l1t-certifiers,"['/datasets/l1t/move_dataset/OPEN/SIGNOFF', '/datasets/l1t/move_dataset/OPEN/COMPLETED', '/datasets/l1t/move_dataset/SIGNOFF/COMPLETED', '/datasets/l1t/move_dataset/COMPLETED/SIGNOFF', '/dataset_lumisections/l1t .*', '/lumisections/edit_rr_lumisections', '/cycles/move_dataset/l1t/.*', '/json_portal/generate']",2018-09-06 16:32:58.801000+02:00
40,cms-dqm-runregistry-offline-gem-certifiers,"['/datasets/gem/move_dataset/OPEN/SIGNOFF', '/datasets/gem/move_dataset/OPEN/COMPLETED', '/datasets/gem/move_dataset/SIGNOFF/COMPLETED', '/datasets/gem/move_dataset/COMPLETED/SIGNOFF', '/dataset_lumisections/gem.*', '/cycles/move_dataset/gem/.*', '/json_portal/generate']",2022-07-04 17:17:09.008337+02:00
6,CMS-Shiftlist_shifters_DQM_P5,"['/runs/id_run/[0-9]+', '/runs/mark_significant', '/runs/move_run/OPEN/SIGNOFF', '/manual_run_edit/[0-9]+', '/lumisections/edit_rr_lumisections', '/json_portal/generate']",2018-09-06 16:32:58.801000+02:00
23,cms-dqm-oncall,"['/runs/id_run/[0-9]+', '/runs/mark_significant', '/runs/move_run/OPEN/SIGNOFF', '/manual_run_edit/[0-9]+', '/runs/move_run/SIGNOFF/OPEN', '/json_portal/generate']",2018-09-06 16:32:58.801000+02:00
2,cms-dqm-runregistry-offline-shifters,['egroup_deleted'],2018-09-06 16:32:58.801000+02:00
4,cms-dqm-runregistry-experts,['.*'],2018-09-06 16:32:58.801000+02:00
5,cms-dqm-runregistry-data-certification,['/classifiers/.*'],2018-09-06 16:32:58.801000+02:00
17,cms-dqm-runregistry-admins-lum,"['/datasets/lumi/move_dataset/OPEN/SIGNOFF', '/datasets/lumi/move_dataset/OPEN/COMPLETED', '/datasets/lumi/move_dataset/SIGNOFF/COMPLETED', '/datasets/lumi/move_dataset/COMPLETED/SIGNOFF', '/dataset_lumisections/lumi.*', '/dc_tools/change_multiple_dataset_states/lumi/OPEN/COMPLETED', '/dc_tools/change_multiple_dataset_states/lumi/OPEN/SIGNOFF', '/dc_tools/change_multiple_dataset_states/lumi/SIGNOFF/COMPLETED', '/dc_tools/change_multiple_dataset_states/lumi/COMPLETED/SIGNOFF', '/cycles/mark_cycle_complete/lumi', '/cycles/mark_cycle_pending/lumi', '/cycles/move_dataset/lumi/.*', '/cycles/move_all_datasets_to/lumi', '/json_portal/generate']",2018-09-06 16:32:58.801000+02:00
7,cms-dqm-runregistry-admins-Castor,"['/datasets/castor/move_dataset/OPEN/SIGNOFF', '/datasets/castor/move_dataset/OPEN/COMPLETED', '/datasets/castor/move_dataset/SIGNOFF/COMPLETED', '/datasets/castor/move_dataset/COMPLETED/SIGNOFF', '/dataset_lumisections/castor.*', '/dc_tools/change_multiple_dataset_states/castor/OPEN/COMPLETED', '/dc_tools/change_multiple_dataset_states/castor/OPEN/SIGNOFF', '/dc_tools/change_multiple_dataset_states/castor/SIGNOFF/COMPLETED', '/dc_tools/change_multiple_dataset_states/castor/COMPLETED/SIGNOFF', '/cycles/mark_cycle_complete/castor', '/cycles/mark_cycle_pending/castor', '/cycles/move_dataset/castor/.*', '/cycles/move_all_datasets_to/castor', '/json_portal/generate']",2018-09-06 16:32:58.801000+02:00
12,cms-dqm-runregistry-admins-gem,"['/datasets/gem/move_dataset/OPEN/SIGNOFF', '/datasets/gem/move_dataset/OPEN/COMPLETED', '/datasets/gem/move_dataset/SIGNOFF/COMPLETED', '/datasets/gem/move_dataset/COMPLETED/SIGNOFF', '/dataset_lumisections/gem.*', '/dc_tools/change_multiple_dataset_states/gem/OPEN/COMPLETED', '/dc_tools/change_multiple_dataset_states/gem/OPEN/SIGNOFF', '/dc_tools/change_multiple_dataset_states/gem/SIGNOFF/COMPLETED', '/dc_tools/change_multiple_dataset_states/gem/COMPLETED/SIGNOFF', '/cycles/mark_cycle_complete/gem', '/cycles/mark_cycle_pending/gem', '/cycles/move_dataset/gem/.*', '/cycles/move_all_datasets_to/gem', '/json_portal/generate']",2018-09-06 16:32:58.801000+02:00
28,cms-dqm-runregistry-offline-ecal-certifiers,"['/datasets/ecal/move_dataset/OPEN/SIGNOFF', '/datasets/ecal/move_dataset/OPEN/COMPLETED', '/datasets/ecal/move_dataset/SIGNOFF/COMPLETED', '/datasets/ecal/move_dataset/COMPLETED/SIGNOFF', '/dataset_lumisections/ecal.*', '/lumisections/edit_rr_lumisections', '/cycles/move_dataset/ecal/.*', '/json_portal/generate']",2018-09-06 16:32:58.801000+02:00
11,cms-dqm-runregistry-admins-egamma,"['/datasets/egamma/move_dataset/OPEN/SIGNOFF', '/datasets/egamma/move_dataset/OPEN/COMPLETED', '/datasets/egamma/move_dataset/SIGNOFF/COMPLETED', '/datasets/egamma/move_dataset/COMPLETED/SIGNOFF', '/dataset_lumisections/egamma.*', '/dc_tools/change_multiple_dataset_states/egamma/OPEN/COMPLETED', '/dc_tools/change_multiple_dataset_states/egamma/OPEN/SIGNOFF', '/dc_tools/change_multiple_dataset_states/egamma/SIGNOFF/COMPLETED', '/dc_tools/change_multiple_dataset_states/egamma/COMPLETED/SIGNOFF', '/cycles/mark_cycle_complete/egamma', '/cycles/mark_cycle_pending/egamma', '/cycles/move_dataset/egamma/.*', '/cycles/move_all_datasets_to/egamma', '/json_portal/generate']",2018-09-06 16:32:58.801000+02:00
27,cms-dqm-runregistry-offline-dt-certifiers,"['/datasets/dt/move_dataset/OPEN/SIGNOFF', '/datasets/dt/move_dataset/OPEN/COMPLETED', '/datasets/dt/move_dataset/SIGNOFF/COMPLETED', '/datasets/dt/move_dataset/COMPLETED/SIGNOFF', '/dataset_lumisections/dt.*', '/lumisections/edit_rr_lumisections', '/cycles/move_dataset/dt/.*', '/json_portal/generate']",2018-09-06 16:32:58.801000+02:00
9,cms-dqm-runregistry-admins-dt,"['/datasets/dt/move_dataset/OPEN/SIGNOFF', '/datasets/dt/move_dataset/OPEN/COMPLETED', '/datasets/dt/move_dataset/SIGNOFF/COMPLETED', '/datasets/dt/move_dataset/COMPLETED/SIGNOFF', '/dataset_lumisections/dt.*', '/dc_tools/change_multiple_dataset_states/dt/OPEN/COMPLETED', '/dc_tools/change_multiple_dataset_states/dt/OPEN/SIGNOFF', '/dc_tools/change_multiple_dataset_states/dt/SIGNOFF/COMPLETED', '/dc_tools/change_multiple_dataset_states/dt/COMPLETED/SIGNOFF', '/cycles/mark_cycle_complete/dt', '/cycles/mark_cycle_pending/dt', '/cycles/move_dataset/dt/.*', '/cycles/move_all_datasets_to/dt', '/json_portal/generate']",2018-09-06 16:32:58.801000+02:00
36,cms-dqm-runregistry-offline-tracker-certifiers,"['/datasets/tracker/move_dataset/OPEN/SIGNOFF', '/datasets/tracker/move_dataset/OPEN/COMPLETED', '/datasets/tracker/move_dataset/SIGNOFF/COMPLETED', '/datasets/tracker/move_dataset/COMPLETED/SIGNOFF', '/dataset_lumisections/tracker.*', '/lumisections/edit_rr_lumisections', '/cycles/move_dataset/tracker/.*', '/json_portal/generate']",2018-09-06 16:32:58.801000+02:00
3,cms-dqm-runregistry-admins-ctpps,"['/datasets/ctpps/move_dataset/OPEN/SIGNOFF', '/datasets/ctpps/move_dataset/OPEN/COMPLETED', '/datasets/ctpps/move_dataset/SIGNOFF/COMPLETED', '/datasets/ctpps/move_dataset/COMPLETED/SIGNOFF', '/dataset_lumisections/ctpps.*', '/dc_tools/change_multiple_dataset_states/ctpps/OPEN/COMPLETED', '/dc_tools/change_multiple_dataset_states/ctpps/OPEN/SIGNOFF', '/dc_tools/change_multiple_dataset_states/ctpps/SIGNOFF/COMPLETED', '/dc_tools/change_multiple_dataset_states/ctpps/COMPLETED/SIGNOFF', '/cycles/mark_cycle_complete/ctpps', '/cycles/mark_cycle_pending/ctpps', '/cycles/move_dataset/ctpps/.*', '/cycles/move_all_datasets_to/ctpps', '/json_portal/generate']",2018-09-06 16:32:58.801000+02:00
1,cms-dqm-runregistry-online-shifters,"['/runs/id_run/[0-9]+', '/runs/mark_significant', '/runs/move_run/OPEN/SIGNOFF', '/manual_run_edit/[0-9]+', '/lumisections/edit_rr_lumisections', '/json_portal/generate']",2018-09-06 16:32:58.801000+02:00
37,cms-dqm-runregistry-offline-tau-certifiers,"['/datasets/tau/move_dataset/OPEN/SIGNOFF', '/datasets/tau/move_dataset/OPEN/COMPLETED', '/datasets/tau/move_dataset/SIGNOFF/COMPLETED', '/datasets/tau/move_dataset/COMPLETED/SIGNOFF', '/dataset_lumisections/tau.*', '/lumisections/edit_rr_lumisections', '/cycles/move_dataset/tau/.*', '/json_portal/generate']",2018-09-06 16:32:58.801000+02:00
