id,workspace,online_or_offline,createdAt,updatedAt
1,btag,offline,2018-08-27 17:00:59.420000+02:00,2018-08-27 17:00:59.420000+02:00
2,castor,offline,2018-08-27 17:00:59.420000+02:00,2018-08-27 17:00:59.420000+02:00
3,cms,offline,2018-08-27 17:00:59.420000+02:00,2018-08-27 17:00:59.420000+02:00
4,csc,offline,2018-08-27 17:00:59.420000+02:00,2018-08-27 17:00:59.420000+02:00
5,ctpps,offline,2018-08-27 17:00:59.420000+02:00,2018-08-27 17:00:59.420000+02:00
6,dt,offline,2018-08-27 17:00:59.420000+02:00,2018-08-27 17:00:59.420000+02:00
7,ecal,offline,2018-08-27 17:00:59.420000+02:00,2018-08-27 17:00:59.420000+02:00
8,egamma,offline,2018-08-27 17:00:59.420000+02:00,2018-08-27 17:00:59.420000+02:00
9,hcal,offline,2018-08-27 17:00:59.420000+02:00,2018-08-27 17:00:59.420000+02:00
10,hlt,offline,2018-08-27 17:00:59.420000+02:00,2018-08-27 17:00:59.420000+02:00
11,jetmet,offline,2018-08-27 17:00:59.420000+02:00,2018-08-27 17:00:59.420000+02:00
12,l1t,offline,2018-08-27 17:00:59.420000+02:00,2018-08-27 17:00:59.420000+02:00
13,lumi,offline,2018-08-27 17:00:59.420000+02:00,2018-08-27 17:00:59.420000+02:00
14,muon,offline,2018-08-27 17:00:59.420000+02:00,2018-08-27 17:00:59.420000+02:00
15,rpc,offline,2018-08-27 17:00:59.420000+02:00,2018-08-27 17:00:59.420000+02:00
16,tau,offline,2018-08-27 17:00:59.420000+02:00,2018-08-27 17:00:59.420000+02:00
17,tracker,offline,2018-08-27 17:00:59.420000+02:00,2018-08-27 17:00:59.420000+02:00
18,btag,online,2018-08-27 17:00:59.420000+02:00,2018-08-27 17:00:59.420000+02:00
19,castor,online,2018-08-27 17:00:59.420000+02:00,2018-08-27 17:00:59.420000+02:00
20,cms,online,2018-08-27 17:00:59.420000+02:00,2018-08-27 17:00:59.420000+02:00
21,csc,online,2018-08-27 17:00:59.420000+02:00,2018-08-27 17:00:59.420000+02:00
22,ctpps,online,2018-08-27 17:00:59.420000+02:00,2018-08-27 17:00:59.420000+02:00
23,dt,online,2018-08-27 17:00:59.420000+02:00,2018-08-27 17:00:59.420000+02:00
24,ecal,online,2018-08-27 17:00:59.420000+02:00,2018-08-27 17:00:59.420000+02:00
25,egamma,online,2018-08-27 17:00:59.420000+02:00,2018-08-27 17:00:59.420000+02:00
26,hcal,online,2018-08-27 17:00:59.420000+02:00,2018-08-27 17:00:59.420000+02:00
27,hlt,online,2018-08-27 17:00:59.420000+02:00,2018-08-27 17:00:59.420000+02:00
28,jetmet,online,2018-08-27 17:00:59.420000+02:00,2018-08-27 17:00:59.420000+02:00
29,l1t,online,2018-08-27 17:00:59.420000+02:00,2018-08-27 17:00:59.420000+02:00
30,lumi,online,2018-08-27 17:00:59.420000+02:00,2018-08-27 17:00:59.420000+02:00
31,muon,online,2018-08-27 17:00:59.420000+02:00,2018-08-27 17:00:59.420000+02:00
32,rpc,online,2018-08-27 17:00:59.420000+02:00,2018-08-27 17:00:59.420000+02:00
33,tau,online,2018-08-27 17:00:59.420000+02:00,2018-08-27 17:00:59.420000+02:00
34,tracker,online,2018-08-27 17:00:59.420000+02:00,2018-08-27 17:00:59.420000+02:00
35,dc,offline,2018-08-27 17:00:59.420000+02:00,2018-08-27 17:00:59.420000+02:00
36,gem,online,2018-08-27 17:00:59.420000+02:00,2018-08-27 17:00:59.420000+02:00
37,gem,offline,2018-08-27 17:00:59.420000+02:00,2018-08-27 17:00:59.420000+02:00
