id,id_workspace,name,createdAt,updatedAt
227,35,lowlumi,2018-08-27 17:00:59.420000+02:00,2018-08-27 17:00:59.420000+02:00
27,34,pixel,2019-04-16 12:59:37.897000+02:00,2019-04-16 12:59:37.897000+02:00
1,4,occupancy,2019-04-16 12:59:37.897000+02:00,2019-04-16 12:59:37.897000+02:00
2,4,integrity,2019-04-16 12:59:37.897000+02:00,2019-04-16 12:59:37.897000+02:00
3,4,pedestals,2019-04-16 12:59:37.897000+02:00,2019-04-16 12:59:37.897000+02:00
4,7,ebm,2019-04-16 12:59:37.897000+02:00,2019-04-16 12:59:37.897000+02:00
5,7,eep,2019-04-16 12:59:37.897000+02:00,2019-04-16 12:59:37.897000+02:00
6,7,esm,2019-04-16 12:59:37.897000+02:00,2019-04-16 12:59:37.897000+02:00
7,18,btag,2019-04-16 12:59:37.897000+02:00,2019-04-16 12:59:37.897000+02:00
8,19,castor,2019-04-16 12:59:37.897000+02:00,2019-04-16 12:59:37.897000+02:00
9,20,cms,2019-04-16 12:59:37.897000+02:00,2019-04-16 12:59:37.897000+02:00
11,25,es,2019-04-16 12:59:37.897000+02:00,2019-04-16 12:59:37.897000+02:00
13,21,csc,2019-04-16 12:59:37.897000+02:00,2019-04-16 12:59:37.897000+02:00
14,22,ctpps,2019-04-16 12:59:37.897000+02:00,2019-04-16 12:59:37.897000+02:00
15,23,dt,2019-04-16 12:59:37.897000+02:00,2019-04-16 12:59:37.897000+02:00
16,24,ecal,2019-04-16 12:59:37.897000+02:00,2019-04-16 12:59:37.897000+02:00
17,25,egamma,2019-04-16 12:59:37.897000+02:00,2019-04-16 12:59:37.897000+02:00
18,26,hcal,2019-04-16 12:59:37.897000+02:00,2019-04-16 12:59:37.897000+02:00
19,27,hlt,2019-04-16 12:59:37.897000+02:00,2019-04-16 12:59:37.897000+02:00
20,28,jetmet,2019-04-16 12:59:37.897000+02:00,2019-04-16 12:59:37.897000+02:00
21,29,l1t,2019-04-16 12:59:37.897000+02:00,2019-04-16 12:59:37.897000+02:00
22,30,lumi,2019-04-16 12:59:37.897000+02:00,2019-04-16 12:59:37.897000+02:00
23,31,muon,2019-04-16 12:59:37.897000+02:00,2019-04-16 12:59:37.897000+02:00
24,32,rpc,2019-04-16 12:59:37.897000+02:00,2019-04-16 12:59:37.897000+02:00
25,33,tau,2019-04-16 12:59:37.897000+02:00,2019-04-16 12:59:37.897000+02:00
26,34,track,2019-04-16 12:59:37.897000+02:00,2019-04-16 12:59:37.897000+02:00
28,34,strip,2019-04-16 12:59:37.897000+02:00,2019-04-16 12:59:37.897000+02:00
29,24,es,2019-04-16 12:59:37.897000+02:00,2019-04-16 12:59:37.897000+02:00
30,29,l1tmu,2019-04-16 12:59:37.897000+02:00,2019-04-16 12:59:37.897000+02:00
31,29,l1tcalo,2019-04-16 12:59:37.897000+02:00,2019-04-16 12:59:37.897000+02:00
32,32,strip,2019-04-16 12:59:37.897000+02:00,2019-04-16 12:59:37.897000+02:00
42,21,csctf,2019-04-16 12:59:37.897000+02:00,2019-04-16 12:59:37.897000+02:00
44,21,ddus,2019-04-16 12:59:37.897000+02:00,2019-04-16 12:59:37.897000+02:00
45,21,efficiency,2019-04-16 12:59:37.897000+02:00,2019-04-16 12:59:37.897000+02:00
46,21,gasgains,2019-04-16 12:59:37.897000+02:00,2019-04-16 12:59:37.897000+02:00
47,21,integrity,2019-04-16 12:59:37.897000+02:00,2019-04-16 12:59:37.897000+02:00
48,21,mem,2019-04-16 12:59:37.897000+02:00,2019-04-16 12:59:37.897000+02:00
49,21,mep,2019-04-16 12:59:37.897000+02:00,2019-04-16 12:59:37.897000+02:00
50,21,occupancy,2019-04-16 12:59:37.897000+02:00,2019-04-16 12:59:37.897000+02:00
51,21,pedestals,2019-04-16 12:59:37.897000+02:00,2019-04-16 12:59:37.897000+02:00
52,21,resolution,2019-04-16 12:59:37.897000+02:00,2019-04-16 12:59:37.897000+02:00
53,21,segments,2019-04-16 12:59:37.897000+02:00,2019-04-16 12:59:37.897000+02:00
54,21,strips,2019-04-16 12:59:37.897000+02:00,2019-04-16 12:59:37.897000+02:00
55,21,timing,2019-04-16 12:59:37.897000+02:00,2019-04-16 12:59:37.897000+02:00
56,21,triggerpe,2019-04-16 12:59:37.897000+02:00,2019-04-16 12:59:37.897000+02:00
57,22,rp45_210,2019-04-16 12:59:37.897000+02:00,2019-04-16 12:59:37.897000+02:00
58,22,rp45_220,2019-04-16 12:59:37.897000+02:00,2019-04-16 12:59:37.897000+02:00
59,22,rp45_cyl,2019-04-16 12:59:37.897000+02:00,2019-04-16 12:59:37.897000+02:00
60,22,rp56_210,2019-04-16 12:59:37.897000+02:00,2019-04-16 12:59:37.897000+02:00
61,22,rp56_220,2019-04-16 12:59:37.897000+02:00,2019-04-16 12:59:37.897000+02:00
62,22,rp56_cyl,2019-04-16 12:59:37.897000+02:00,2019-04-16 12:59:37.897000+02:00
68,24,analysis,2019-04-16 12:59:37.897000+02:00,2019-04-16 12:59:37.897000+02:00
69,24,collisions,2019-04-16 12:59:37.897000+02:00,2019-04-16 12:59:37.897000+02:00
70,24,ebm,2019-04-16 12:59:37.897000+02:00,2019-04-16 12:59:37.897000+02:00
71,24,ebp,2019-04-16 12:59:37.897000+02:00,2019-04-16 12:59:37.897000+02:00
73,24,eem,2019-04-16 12:59:37.897000+02:00,2019-04-16 12:59:37.897000+02:00
77,24,eep,2019-04-16 12:59:37.897000+02:00,2019-04-16 12:59:37.897000+02:00
79,24,esm,2019-04-16 12:59:37.897000+02:00,2019-04-16 12:59:37.897000+02:00
80,24,esp,2019-04-16 12:59:37.897000+02:00,2019-04-16 12:59:37.897000+02:00
81,24,laser,2019-04-16 12:59:37.897000+02:00,2019-04-16 12:59:37.897000+02:00
82,24,noise,2019-04-16 12:59:37.897000+02:00,2019-04-16 12:59:37.897000+02:00
83,24,preshower,2019-04-16 12:59:37.897000+02:00,2019-04-16 12:59:37.897000+02:00
